product_id,wishlist_pid,name,brand,price,original_price,category,available_sizes,flag,tags,promotion,url,image_url
004318_ASWD-253-913-2218,004318_ASWD-253-913-2218,Lenore Drop Waist Midi Dress,ALTAR'D STATE,98,98,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/maxi-midi/lenore-drop-waist-midi-dress/004318_ASWD-253-913-2218.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwa73eef07/image/004318_ASWD-253-913_RUST-IVORY_00.JPG?sw=300&sh=450&q=98
004418_MARCIA-AS-0016,004418_MARCIA-AS-0016,Marcie Tiered Mini Dress,ALTAR'D STATE,76,76,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL, 3XL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/marcie-tiered-mini-dress/004418_MARCIA-AS-0016.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw83db56e9/image/004418_MARCIA-AS_BLACK_00.JPG?sw=300&sh=450&q=98
004311_ASWD-253-805-0044,004311_ASWD-253-805-0044,Kate Bodycon Mini Dress,ALTAR'D STATE,88,88,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/kate-bodycon-mini-dress/004311_ASWD-253-805-0044.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw49885d9a/image/004311_ASWD-253-805_CREAM_00.JPG?sw=300&sh=450&q=98
001926_DYDW4125AI-F-5040,001926_DYDW4125AI-F-5040,Carla Long Sleeve Floral Mini Dress,ALTAR'D STATE,84,84,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/carla-long-sleeve-floral-mini-dress/001926_DYDW4125AI-F-5040.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw9d1dfcca/image/001926_DYDW4125AI-F_DARK-BLUE_00.JPG?sw=300&sh=450&q=98
004311_ASWD-253-868-4026,004311_ASWD-253-868-4026,Long Sleeve Eyelet Mini Dress,ALTAR'D STATE,104,104,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/long-sleeve-eyelet-mini-dress/004311_ASWD-253-868-4026.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwda89ab9f/image/004311_ASWD-253-868_BURNT-RED_00.JPG?sw=300&sh=450&q=98
001890_E1433K500JI-0016,001890_E1433K500JI-0016,Lulu Strapless Rhinestone Bow Mini Dress,ALTAR'D STATE,74,74,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/lulu-strapless-rhinestone-bow-mini-dress/001890_E1433K500JI-0016.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw206e44a3/image/001890_E1433K500JI_BLACK_00.JPG?sw=300&sh=450&q=98
001890_E1571K500JD-0016,001890_E1571K500JD-0016,Arianna Rhinestone Mini Dress,ALTAR'D STATE,74,74,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/arianna-rhinestone-mini-dress/001890_E1571K500JD-0016.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw4f0d20c4/image/001890_E1571K500JD_BLACK_00.JPG?sw=300&sh=450&q=98
004311_ASWD-253-838-5185,004311_ASWD-253-838-5185,Whitney Long Sleeve Floral Maxi,ALTAR'D STATE,108,108,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL, 3XL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/maxi-midi/whitney-long-sleeve-floral-maxi/004311_ASWD-253-838-5185.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwabb70c0f/image/004311_ASWD-253-838_MAUVE-MULTI_00.JPG?sw=300&sh=450&q=98
001125_ROSELLA-U167-4514,001125_ROSELLA-U167-4514,Carmen Floral Bow Tie Midi Dress,ALTAR'D STATE,98,98,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,"new,back_in_stock",BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/maxi-midi/carmen-floral-bow-tie-midi-dress/001125_ROSELLA-U167-4514.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw6dbbb741/image/001125_ROSELLA-U167_IVORY-RUST_00.JPG?sw=300&sh=450&q=98
001926_RYDW7223-SMF-0016,001926_RYDW7223-SMF-0016,Florence Bow Romper,ALTAR'D STATE,78,78,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL, 3XL",New,"new,best_sellers",BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/rompers-jumpsuits/florence-bow-romper/001926_RYDW7223-SMF-0016.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwc2d17305/image/001926_RYDW7223-SMF_BLACK_00.JPG?sw=300&sh=450&q=98
004318_ASWD-253-815-0016,004318_ASWD-253-815-0016,Carly Strapless Rhinestone Mini Dress,ALTAR'D STATE,78,78,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/carly-strapless-rhinestone-mini-dress/004318_ASWD-253-815-0016.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw92db3f35/image/004318_ASWD-253-815_BLACK_01.JPG?sw=300&sh=450&q=98
001125_AVYNLY-Z409-2696,001125_AVYNLY-Z409-2696,Paityn Floral Strapless Maxi Dress,ALTAR'D STATE,92,92,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/maxi-midi/paityn-floral-strapless-maxi-dress/001125_AVYNLY-Z409-2696.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw02ba89db/image/001125_AVYNLY-Z409_WINE-MULTI_00.JPG?sw=300&sh=450&q=98
001125_KESTER-U165-0005,001125_KESTER-U165-0005,Eli Lilly Eyelet Maxi Dress,ALTAR'D STATE,118,118,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/maxi-midi/eli-lilly-eyelet-maxi-dress/001125_KESTER-U165-0005.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwdf1f3f1f/image/001125_KESTER-U165_BLUE_00.JPG?sw=300&sh=450&q=98
004171_ASWD-253-844-2492,004171_ASWD-253-844-2492,Antonia Floral Mini Dress,ALTAR'D STATE,84,84,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/antonia-floral-mini-dress/004171_ASWD-253-844-2492.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw5fdb5329/image/004171_ASWD-253-844_MOCHA-IVORY_00.JPG?sw=300&sh=450&q=98
004171_ASWD-253-850-1955,004171_ASWD-253-850-1955,Chelly Floral Mini Dress,ALTAR'D STATE,84,84,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/chelly-floral-mini-dress/004171_ASWD-253-850-1955.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw4a9c2469/image/004171_ASWD-253-850_IVORY-MAUVE_00.JPG?sw=300&sh=450&q=98
004171_ASWD-253-843-4514,004171_ASWD-253-843-4514,Solana Floral Maxi Dress,ALTAR'D STATE,104,104,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/maxi-midi/solana-floral-maxi-dress/004171_ASWD-253-843-4514.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw3275cb73/image/004171_ASWD-253-843_IVORY-RUST_00.JPG?sw=300&sh=450&q=98
004171_ASWD-253-853-0015,004171_ASWD-253-853-0015,Maya Mini Dress,ALTAR'D STATE,84,84,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/maya-mini-dress/004171_ASWD-253-853-0015.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwb659d3d9/image/004171_ASWD-253-853_CHOCOLATE_00.JPG?sw=300&sh=450&q=98
004171_ASWD-253-834-0072,004171_ASWD-253-834-0072,Jolie Floral Maxi Dress,ALTAR'D STATE,128,128,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,"new,back_in_stock",BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/maxi-midi/jolie-floral-maxi-dress/004171_ASWD-253-834-0072.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw2186e5d9/image/004171_ASWD-253-834_RED-MULTI_00.JPG?sw=300&sh=450&q=98
001761_IPG2794D-1-0001,001761_IPG2794D-1-0001,Luca Denim Mini Dress,ALTAR'D STATE,74,74,Clothing/Dresses,"S, M, L",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/luca-denim-mini-dress/001761_IPG2794D-1-0001.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwf68e57ad/image/001761_IPG2794D-1_DENIM_00.JPG?sw=300&sh=450&q=98
001761_IPA2293D-0440,001761_IPA2293D-0440,Alyvia Denim Mini Dress,ALTAR'D STATE,78,78,Clothing/Dresses,"S, M, L",Online Exclusive,"online_exclusive,new",BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/alyvia-denim-mini-dress/001761_IPA2293D-0440.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw6caac258/image/001761_IPA2293D_WASHED-BLACK_00.JPG?sw=300&sh=450&q=98
004293_KD1248-0520,004293_KD1248-0520,Rebecca Denim Mini Dress,ALTAR'D STATE,74,74,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL, 3XL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/rebecca-denim-mini-dress/004293_KD1248-0520.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw1133d496/image/004293_KD1248_DARK-DENIM_09.JPG?sw=300&sh=450&q=98
004418_JUNOJAC-AS-5618,004418_JUNOJAC-AS-5618,Juno Mini Dress,ALTAR'D STATE,78,78,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL, 3XL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/juno-mini-dress/004418_JUNOJAC-AS-5618.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw43b575ec/image/004418_JUNOJAC-AS_WITHERED-ROSE_00.JPG?sw=300&sh=450&q=98
004418_KENNEDY-AS-1353,004418_KENNEDY-AS-1353,Kennedy Floral Maxi Dress,ALTAR'D STATE,94,94,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL, 3XL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/maxi-midi/kennedy-floral-maxi-dress/004418_KENNEDY-AS-1353.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwfac775bf/image/004418_KENNEDY-AS_BROWN-MULTI_00.JPG?sw=300&sh=450&q=98
004171_ASWD-253-865-0357,004171_ASWD-253-865-0357,Azura Mini Dress,ALTAR'D STATE,78,78,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/azura-mini-dress/004171_ASWD-253-865-0357.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwd7a381da/image/004171_ASWD-253-865_NAVY-MULTI_00.JPG?sw=300&sh=450&q=98
004311_ASWD-253-869-0034,004311_ASWD-253-869-0034,Leighton Lace Mini Dress,ALTAR'D STATE,104,104,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/leighton-lace-mini-dress/004311_ASWD-253-869-0034.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw620596bb/image/004311_ASWD-253-869_IVORY_09.JPG?sw=300&sh=450&q=98
004171_ASWD-251-643-1003,004171_ASWD-251-643-1003,Blair Puff Sleeve Floral Mini Dress,ALTAR'D STATE,78,78,Clothing/Dresses,"XXS, XS, S, M, L, XL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/blair-puff-sleeve-floral-mini-dress/004171_ASWD-251-643-1003.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw06638980/image/004171_ASWD-251-643_IVORY-MULTI_00.JPG?sw=300&sh=450&q=98
004371_BRWD-460-0019,004371_BRWD-460-0019,Maddi Corset Mini Dress,ALTAR'D STATE,78,78,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/maddi-corset-mini-dress/004371_BRWD-460-0019.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw79838bfd/image/004371_BRWD-460_NAVY_09.JPG?sw=300&sh=450&q=98
004311_ASWD-253-807-1996,004311_ASWD-253-807-1996,Nessa Mini Dress,ALTAR'D STATE,74,74,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/nessa-mini-dress/004311_ASWD-253-807-1996.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw155fef61/image/004311_ASWD-253-807_BLACK-WHITE_00.JPG?sw=300&sh=450&q=98
004418_MARCIA-AS-5618,004418_MARCIA-AS-5618,Marcie Tiered Mini Dress,ALTAR'D STATE,76,76,Clothing/Dresses,"XXS, XS, S, M, L, XL, 3XL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/marcie-tiered-mini-dress/004418_MARCIA-AS-5618.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw382e30ca/image/004418_MARCIA-AS_WITHERED-ROSE_00.JPG?sw=300&sh=450&q=98
001926_DYDW5149TS-D-4236,001926_DYDW5149TS-D-4236,Laurenna Puff Sleeve Mini Dress,ALTAR'D STATE,76,76,Clothing/Dresses,"XS, S, M, L, XL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/laurenna-puff-sleeve-mini-dress/001926_DYDW5149TS-D-4236.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw82ac8c50/image/001926_DYDW5149TS-D_HUNTER_00.JPG?sw=300&sh=450&q=98
004293_SD1413C-9627,004293_SD1413C-9627,Paityn Strapless Mini Dress,ALTAR'D STATE,74,74,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL, 3XL",New,"new,back_in_stock",BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/paityn-strapless-mini-dress/004293_SD1413C-9627.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwd9e25977/image/004293_SD1413C_DK-CINNAMON_00.JPG?sw=300&sh=450&q=98
004293_SD1413C-0067,004293_SD1413C-0067,Paityn Strapless Mini Dress,ALTAR'D STATE,74,74,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL, 3XL",New,"new,back_in_stock",BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/paityn-strapless-mini-dress/004293_SD1413C-0067.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw90436038/image/004293_SD1413C_CHAMPAGNE_00.JPG?sw=300&sh=450&q=98
004418_JUDY-AS-1-4446,004418_JUDY-AS-1-4446,Judy Maxi Dress,ALTAR'D STATE,88,88,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL, 3XL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/maxi-midi/judy-maxi-dress/004418_JUDY-AS-1-4446.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwca2320c9/image/004418_JUDY-AS-1_DARK-SAGE_00.JPG?sw=300&sh=450&q=98
001926_DYDW6999JC-0021,001926_DYDW6999JC-0021,Beatrice Mini Dress,ALTAR'D STATE,74,74,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL, 3XL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/beatrice-mini-dress/001926_DYDW6999JC-0021.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwcc48652d/image/001926_DYDW6999JC_MUSTARD_09.JPG?sw=300&sh=450&q=98
001125_JUNO-D107-1353,001125_JUNO-D107-1353,Bria Floral Midi Dress,ALTAR'D STATE,88,88,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/maxi-midi/bria-floral-midi-dress/001125_JUNO-D107-1353.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwcb2931b6/image/001125_JUNO-D107_BROWN-MULTI_00.JPG?sw=300&sh=450&q=98
001125_AVA-SS42-2839,001125_AVA-SS42-2839,Lucille Mini Dress,ALTAR'D STATE,78,78,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/lucille-mini-dress/001125_AVA-SS42-2839.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw25358b31/image/001125_AVA-SS42_IVORY-ROSE_00.JPG?sw=300&sh=450&q=98
004288_PHEEBIE-AS-0034,004288_PHEEBIE-AS-0034,Pheebie Clipdot Mini Dress,ALTAR'D STATE,82,82,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL, 3XL",New,"new,back_in_stock",BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/pheebie-clipdot-mini-dress/004288_PHEEBIE-AS-0034.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw66593e90/image/004288_PHEEBIE-AS_IVORY_00.JPG?sw=300&sh=450&q=98
001125_KELLIN-HH77-1955,001125_KELLIN-HH77-1955,Kellin Floral Bow Mini Dress,ALTAR'D STATE,82,82,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/kellin-floral-bow-mini-dress/001125_KELLIN-HH77-1955.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwcb8169ee/image/001125_KELLIN-HH77_IVORY-MAUVE_00.JPG?sw=300&sh=450&q=98
001926_DYDW6981B-SMS-0852,001926_DYDW6981B-SMS-0852,Emilia Midi Dress,ALTAR'D STATE,98,98,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/maxi-midi/emilia-midi-dress/001926_DYDW6981B-SMS-0852.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw40794cf9/image/001926_DYDW6981B-SMS_DUSTY-ROSE_00.JPG?sw=300&sh=450&q=98
004293_P60384-S-0019,004293_P60384-S-0019,Paityn Strapless Maxi Dress,ALTAR'D STATE,82,82,Clothing/Dresses,"XXS, XS, S, M, L, XL",New,"new,top_rated",BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/maxi-midi/paityn-strapless-maxi-dress/004293_P60384-S-0019.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw208670ae/image/004293_P60384-S_NAVY_00.JPG?sw=300&sh=450&q=98
